sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
7200,-31.76587,-24.0661,0.2804593,0.8663476,0.08190989,0.0623427,0.02664743,0.003509278,0.04887868,0.1719903,0.07919397,5.369542
7300,-26.04312,-14.02869,0.2020003,0.5184375,1.164951,0.0273555,0.005797507,0.09290953,0.006925779,0.08417524,0.007358747,5.398812
7400,-28.96456,-15.85164,1.794483,0.3639557,1.119584,0.003578563,0.0008668961,0.02811549,0.008930803,0.04197636,0.0399224,5.343154
7500,-23.86604,-13.3299,1.194549,0.6360255,0.6492479,0.05216555,0.0008382676,0.003001525,0.0008673909,0.1216946,0.06451192,5.111719
7600,-29.90826,-20.74149,0.548266,0.8816174,0.4765376,0.004958996,0.008264133,0.04104402,0.05185711,0.1874495,0.0202165,5.247745
7700,-25.55325,-12.95501,0.9352379,0.4856962,0.3502609,0.008685834,0.06031403,0.01440369,0.0006941025,0.05634249,0.07101317,5.162677
7800,-24.32066,-14.74414,0.7090843,1.048524,0.9201937,0.004488531,0.03836039,0.09058678,0.03422607,0.04735668,0.04905369,5.253045
7900,-29.75685,-16.3362,0.6541767,0.5942211,0.2711483,0.01835103,0.01443047,0.02156685,0.0771438,0.003244319,0.0626295,5.503414
8000,-24.33448,-12.00858,0.2780781,0.8472168,1.296954,0.006254601,0.03715295,0.0164992,0.07514651,0.03634106,0.01769185,5.47281
8100,-26.25092,-11.85067,0.263164,0.5551501,1.212279,0.03264705,0.008373026,0.02116027,0.04023079,0.01386357,0.02570464,5.281282
8200,-24.51242,-10.08985,0.3212842,1.017759,0.8782845,0.01902231,0.06299099,0.005053861,0.02072145,0.01196126,0.01263058,5.625691
8300,-27.94032,-16.14672,0.4961347,0.7246137,0.4547174,0.04101922,0.04904403,0.07096948,0.04267722,0.02778851,0.01001978,5.932345
8400,-26.23506,-15.60521,0.6811009,0.4722713,0.3743836,0.0222973,0.00712148,0.05269364,0.005833483,0.07586996,0.121626,5.694303
8500,-26.33362,-15.62878,0.340796,0.6790536,0.115828,0.04415174,0.06622778,0.03617792,0.05138659,0.02204187,0.08174742,6.431335
8600,-24.70834,-7.865331,0.2014754,0.3688326,0.8806049,0.03464821,0.04092471,0.0002369004,0.002088151,0.01378864,0.0004604335,6.24478
8700,-26.50984,-13.58025,0.2878773,0.5012072,1.039111,0.05370073,0.01733566,0.01460818,0.02986578,0.03381512,0.0489103,6.956101
8800,-25.01608,-12.72179,0.4661425,0.9914177,0.7167453,0.02371241,0.02210182,0.03989046,0.0008784586,0.09740998,0.01790109,6.430955
8900,-26.30025,-15.28194,1.023571,0.6129302,0.1885872,0.01202987,0.02625786,0.01006461,0.06325793,0.1137319,0.03362806,6.019469
9000,-31.66453,-18.3332,0.1876466,0.5639147,0.1327124,0.02312595,0.08871812,0.03555478,0.01606308,0.06647467,0.0005093988,6.610099
9100,-26.527,-18.50083,0.6665063,0.3595714,0.9078976,0.02492805,0.1364163,0.01829339,0.01701479,0.1271554,0.02482655,6.347962
9200,-28.06471,-16.64999,0.2547202,0.7876194,0.09314542,0.09806591,0.00713712,0.02091182,0.02140788,0.1291895,0.002527508,6.687705
9300,-23.84088,-15.62196,0.5958846,0.7361754,0.3350808,0.02723751,0.05978881,0.02342343,0.2052926,0.03553598,0.003951629,6.958543
9400,-27.12121,-18.1919,0.2271093,0.781108,0.6531131,0.1028952,0.009835685,0.03073177,0.05605003,0.1248458,0.008629163,6.445158
9500,-25.4368,-12.54361,0.3382877,1.15735,0.1841901,0.0285711,0.008138558,0.02988279,0.04919273,0.07468708,0.01598174,6.061723
9600,-28.48673,-18.28303,0.4273255,0.3588269,0.1504139,0.08163007,0.01812061,0.005943707,0.07677771,0.04984652,0.09478141,6.180128
9700,-28.79993,-15.24319,0.4176333,0.4836912,0.07318242,0.05703585,0.04589265,0.01726269,0.05258672,0.007926551,0.03829981,5.866199
9800,-29.57803,-18.57936,0.2178299,1.006894,0.4402144,0.06530129,0.01105942,0.03154267,0.1183248,0.01706941,0.02392095,6.730111
9900,-24.95135,-11.91586,0.2047982,0.507217,1.302011,0.02027323,0.01192723,0.03959742,0.04119219,0.0480589,0.02498141,6.489215
10000,-27.09489,-13.12646,0.26161,0.4525688,0.7275311,0.01290596,0.01466915,0.04587983,0.001197662,0.09886445,0.01019057,6.025535
